id	thai_translit	thai_name	english_name	image	region	description
1	Chok	โจ๊ก	Rice congee			Of Chinese origin, it is a rice congee with minced chicken or pork. Mixing  an egg in with the congee is optional.
2	Khao kan chin	ข้าวกั๊นจิ๊น			North	A dish of the Tai Yai (Shan people) of Burma and northern Thailand, it is  rice that is mixed with pork blood and steamed inside a banana leaf. *Khao  kan chin* is served with cucumber, onions and fried, dried chillies.[1]
3	Khao kha mu	ข้าวขาหมู				Steamed rice is served with sliced pig's trotters which has been simmered  in soy sauce and five spice powder. It is always served with a sweet spicy  dipping sauce, fresh bird's eye chillies and cloves of garlic on the side.  Boiled egg and a clear broth on the side are optional.
4	Khao khai chiao	ข้าวไข่เจียว	Omelet on rice			A quick snack or breakfast, it is an omelet with white rice, often eaten  with chilli sauce and cucumber. The variant shown in the image is *khao  khai chiao songkhrueang* (Thai: ข้าวไข่เจียวทรงเครื่อง) where the omelet is  topped with a minced pork and vegetable stir-fry.
5	Khao khluk kapi	ข้าวคลุกกะปิ	Fried rice with shrimp paste			Rice is fried with shrimp paste and served with sweet pork, sour mango,  fried shrimp, chillies and shallots.
6	Khao mok kai	ข้าวหมกไก่	Thai chicken biryani			The Thai version of a "chicken biryani". The name literally means "rice  covered chicken". This Thai-Muslim dish is made by cooking rice together  with the chicken curry.
7	Khao mok nuea	ข้าวหมกเนื้อ				The Thai version of a "beef biryani".
8	Khao man kai	ข้าวมันไก่	Chicken rice			Rice steamed with garlic served with sliced chicken, chicken broth and a  spicy dipping sauce.
9	Khao mu krop	ข้าวหมูกรอบ				Rice and crispy pork that is often, as here in this image, served with  boiled egg and a bowl of broth. The sauce that always comes with *khao mu  krop* is here served separately in the bowl at the top of the image.
10	Khao mu krop mu daeng	ข้าวหมูกรอบหมูแดง				Slices of *mu krop* (crispy pork) and *mu daeng* (red roast pork) served on  rice, and often covered with a sticky soya and/or oyster-sauce based sauce.  Very often, a clear soup, boiled egg, cucumber, and spring onion is served  on the side. Sliced chillies in Chinese black vinegar and dark soy sauce  are provided as a condiment for this dish.
11	Khao na pet	ข้าวหน้าเป็ด	Red roast duck on rice			Boiled rice with roast duck and duck broth on the side. It is served with  sliced chillies in soy sauce as a condiment.
12	Khao niao	ข้าวเหนียว	Glutinous *or* sticky rice			Khao niao is traditionally eaten using only the right hand. It is the  staple food of Northern and Northeastern Thais.
13	Khao nuea op	ข้าวเนื้ออบ				Rice with slices of baked beef, served with a spicy chilli dip.
14	Khao phat	ข้าวผัด	Thai fried rice			Fried rice in Thailand can be made with different ingredients. Customarily  served with fresh lime, cucumber, spring onions and *nam pla phrik*(chillies in fish sauce).
15	Khao phat amerikan	ข้าวผัดอเมริกัน	American fried rice			*American fried rice* is rice fried with onion, tomato, raisins and  flavoured with ketchup. It is often garnished with some sausage, fried  chicken and egg.
16	Khao phat kaeng khiao wan	ข้าวผัดแกงเขียวหวาน				Rice fried with green curry.
17	Khao phat kaphrao mu	ข้าวผัดกะเพราหมู	Basil fried rice with pork			Rice fried with a certain variety of Thai basil called *bai kaphrao* (Ocimum  tenuiflorum), sliced pork and chillies.
18	Khao phat nam phrik narok	ข้าวผัดน้ำพริกนรก				The name literally means "rice fried with chilli paste from hell". The rice  is fried with *nam phrik narok*, a very spicy chilli paste made with fried  catfish, grilled onion and garlic, grilled (dried) chillies, sugar, fish  sauce and shrimp paste. Here it is served with *mu yang* (grilled pork) and *nam  chim chaeo*, a spicy dipping sauce.
19	Khao tom	ข้าวต้ม	Thai rice soup			Boiled rice in a light broth, usually with minced pork, chicken or fish. It  is often eaten for breakfast.
20	Khao tom kui	ข้าวต้มกุ๊ย	Plain rice congee			Plain rice is cooked to a porridge and eaten as the staple together with a  variety of side dishes.
